Date,Time,Operation,Status,Detail
2025-04-29,16:21:04,Data,Success,Apartment count: 10
2025-04-29,16:26:04,Check,Started,Connecting to website
2025-04-29,16:26:04,Connection,Success,HTTP 200
2025-04-29,16:26:04,Data,Success,Apartment count: 10
2025-04-29,16:31:05,Check,Started,Connecting to website
2025-04-29,16:31:05,Connection,Success,HTTP 200
2025-04-29,16:31:05,Data,Success,Apartment count: 10
2025-04-29,16:36:06,Check,Started,Connecting to website
2025-04-29,16:36:06,Connection,Success,HTTP 200
2025-04-29,16:36:06,Data,Success,Apartment count: 10
2025-04-29,16:41:07,Check,Started,Connecting to website
2025-04-29,16:41:07,Connection,Success,HTTP 200
2025-04-29,16:41:07,Data,Success,Apartment count: 10
2025-04-29,16:46:08,Check,Started,Connecting to website
2025-04-29,16:46:08,Connection,Success,HTTP 200
2025-04-29,16:46:09,Data,Success,Apartment count: 10
2025-04-29,16:51:09,Check,Started,Connecting to website
2025-04-29,16:51:09,Connection,Success,HTTP 200
2025-04-29,16:51:09,Data,Success,Apartment count: 10
2025-04-29,16:56:10,Check,Started,Connecting to website
2025-04-29,16:56:10,Connection,Success,HTTP 200
2025-04-29,16:56:10,Data,Success,Apartment count: 10
2025-04-29,17:01:10,Check,Started,Connecting to website
2025-04-29,17:01:13,Connection,Success,HTTP 200
2025-04-29,17:01:13,Data,Success,Apartment count: 10
2025-04-29,17:06:13,Check,Started,Connecting to website
2025-04-29,17:06:14,Connection,Success,HTTP 200
2025-04-29,17:06:14,Data,Success,Apartment count: 10
2025-04-29,17:11:14,Check,Started,Connecting to website
2025-04-29,17:11:15,Connection,Success,HTTP 200
2025-04-29,17:11:15,Data,Success,Apartment count: 10
2025-04-29,17:16:15,Check,Started,Connecting to website
2025-04-29,17:16:16,Connection,Success,HTTP 200
2025-04-29,17:16:16,Data,Success,Apartment count: 10
2025-04-29,17:21:16,Check,Started,Connecting to website
2025-04-29,17:21:17,Connection,Success,HTTP 200
2025-04-29,17:21:17,Data,Success,Apartment count: 10
2025-04-29,17:26:17,Check,Started,Connecting to website
2025-04-29,17:26:17,Connection,Success,HTTP 200
2025-04-29,17:26:17,Data,Success,Apartment count: 10
2025-04-29,17:31:18,Check,Started,Connecting to website
2025-04-29,17:31:18,Connection,Success,HTTP 200
2025-04-29,17:31:18,Data,Success,Apartment count: 10
2025-04-29,17:36:19,Check,Started,Connecting to website
2025-04-29,17:36:19,Connection,Success,HTTP 200
2025-04-29,17:36:19,Data,Success,Apartment count: 10
2025-04-29,17:41:20,Check,Started,Connecting to website
2025-04-29,17:41:20,Connection,Success,HTTP 200
2025-04-29,17:41:20,Data,Success,Apartment count: 10
2025-04-29,17:46:20,Check,Started,Connecting to website
2025-04-29,17:46:22,Connection,Success,HTTP 200
2025-04-29,17:46:22,Data,Success,Apartment count: 10
2025-04-29,17:51:22,Check,Started,Connecting to website
2025-04-29,17:51:23,Connection,Success,HTTP 200
2025-04-29,17:51:23,Data,Success,Apartment count: 10
2025-04-29,17:54:34,System,Stopped,By user
2025-06-12,21:44:13,System,Started,Version 3.0 - Check interval: 5 minutes
2025-06-12,21:44:13,Check,Started,Connecting to website
2025-06-12,21:44:14,Connection,Success,HTTP 200
2025-06-12,21:44:14,Data,Error,Apartment count not found
2025-06-12,21:44:49,System,Stopped,By user
2025-06-12,21:45:25,System,Started,Version 3.0 - Check interval: 5 minutes
2025-06-12,21:45:25,Check,Started,Connecting to website
2025-06-12,21:45:26,Connection,Success,HTTP 200
2025-06-12,21:45:26,Data,Success,Ev sayısı bulundu (span): 4
2025-06-12,21:45:30,E-posta,Success,Bildirim gönderildi
2025-06-12,21:46:38,System,Stopped,By user
2025-06-12,21:51:37,System,Started,"Version 4.0 - Check interval: 5 minutes - Filter: 1, 1,5, 2, 2,5, 3 rooms, 300-1000€"
2025-06-12,21:51:37,Check,Started,1 oda için web sitesine bağlanılıyor
2025-06-12,21:51:38,Connection,Success,1 oda - HTTP 200
2025-06-12,21:51:38,Data,Success,1 oda - Ev sayısı bulundu (span): 4
2025-06-12,21:51:38,Check,Started,"1,5 oda için web sitesine bağlanılıyor"
2025-06-12,21:51:38,Connection,Success,"1,5 oda - HTTP 200"
2025-06-12,21:51:38,Data,Success,"1,5 oda - Ev sayısı bulundu (span): 4"
2025-06-12,21:51:38,Check,Started,2 oda için web sitesine bağlanılıyor
2025-06-12,21:51:38,Connection,Success,2 oda - HTTP 200
2025-06-12,21:51:38,Data,Success,2 oda - Ev sayısı bulundu (span): 4
2025-06-12,21:51:38,Check,Started,"2,5 oda için web sitesine bağlanılıyor"
2025-06-12,21:51:38,Connection,Success,"2,5 oda - HTTP 200"
2025-06-12,21:51:38,Data,Success,"2,5 oda - Ev sayısı bulundu (span): 4"
2025-06-12,21:51:38,Check,Started,3 oda için web sitesine bağlanılıyor
2025-06-12,21:51:38,Connection,Success,3 oda - HTTP 200
2025-06-12,21:51:38,Data,Success,3 oda - Ev sayısı bulundu (span): 4
2025-06-12,21:51:40,E-posta,Success,Bildirim gönderildi
2025-06-12,21:54:08,System,Started,"Version 4.1 - Check interval: 5 minutes - Filter: 1, 1,5, 2, 2,5, 3 rooms, 300-1000€"
2025-06-12,21:54:08,Check,Started,Connecting to website
2025-06-12,21:54:08,Connection,Success,HTTP 200
2025-06-12,21:54:08,Data,Success,Ev sayısı bulundu (span): 4
2025-06-12,21:54:10,E-posta,Success,Bildirim gönderildi
2025-06-12,21:54:57,System,Started,"Version 4.1 - Check interval: 5 minutes - Filter: 2, 2,5, 3 rooms, 300-1000€"
2025-06-12,21:54:57,Check,Started,Connecting to website
2025-06-12,21:54:58,Connection,Success,HTTP 200
2025-06-12,21:54:58,Data,Success,Ev sayısı bulundu (span): 4
2025-06-12,21:54:59,E-posta,Success,Bildirim gönderildi
2025-06-12,21:56:40,Check,Started,1 oda için web sitesine bağlanılıyor
2025-06-12,21:56:41,Connection,Success,1 oda - HTTP 200
2025-06-12,21:56:41,Data,Success,1 oda - Ev sayısı bulundu (span): 4
2025-06-12,21:56:41,Check,Started,"1,5 oda için web sitesine bağlanılıyor"
2025-06-12,21:56:41,Connection,Success,"1,5 oda - HTTP 200"
2025-06-12,21:56:41,Data,Success,"1,5 oda - Ev sayısı bulundu (span): 4"
2025-06-12,21:56:41,Check,Started,2 oda için web sitesine bağlanılıyor
2025-06-12,21:56:41,Connection,Success,2 oda - HTTP 200
2025-06-12,21:56:41,Data,Success,2 oda - Ev sayısı bulundu (span): 4
2025-06-12,21:56:41,Check,Started,"2,5 oda için web sitesine bağlanılıyor"
2025-06-12,21:56:41,Connection,Success,"2,5 oda - HTTP 200"
2025-06-12,21:56:41,Data,Success,"2,5 oda - Ev sayısı bulundu (span): 4"
2025-06-12,21:56:41,Check,Started,3 oda için web sitesine bağlanılıyor
2025-06-12,21:56:42,Connection,Success,3 oda - HTTP 200
2025-06-12,21:56:42,Data,Success,3 oda - Ev sayısı bulundu (span): 4
2025-06-12,21:56:42,Check,Success,Değişiklik yok - Toplam ev sayısı: 20
2025-06-12,21:59:10,Check,Started,Connecting to website
2025-06-12,21:59:11,Connection,Success,HTTP 200
2025-06-12,21:59:11,Data,Success,Ev sayısı bulundu (span): 4
2025-06-12,21:59:11,Check,Success,Değişiklik yok - Toplam ev sayısı: 4
2025-06-12,21:59:16,System,Started,"Version 5.0 - Check interval: 5 minutes - Filter: 2, 2,5, 3 rooms, 300-1000€ - Selenium active"
2025-06-12,21:59:16,Check,Started,Selenium ile web sitesine bağlanılıyor
2025-06-12,21:59:24,System,Error,Selenium hatası: [WinError 193] %1 geçerli bir Win32 uygulaması değil
2025-06-12,21:59:26,E-posta,Success,Bildirim gönderildi
2025-06-12,22:00:00,Check,Started,Connecting to website
2025-06-12,22:00:00,Connection,Success,HTTP 200
2025-06-12,22:00:00,Data,Success,Ev sayısı bulundu (span): 4
2025-06-12,22:00:00,Check,Success,Değişiklik yok - Toplam ev sayısı: 4
2025-06-12,22:01:42,Check,Started,1 oda için web sitesine bağlanılıyor
2025-06-12,22:01:42,Connection,Success,1 oda - HTTP 200
2025-06-12,22:01:42,Data,Success,1 oda - Ev sayısı bulundu (span): 4
2025-06-12,22:01:42,Check,Started,"1,5 oda için web sitesine bağlanılıyor"
2025-06-12,22:01:42,Connection,Success,"1,5 oda - HTTP 200"
2025-06-12,22:01:42,Data,Success,"1,5 oda - Ev sayısı bulundu (span): 4"
2025-06-12,22:01:42,Check,Started,2 oda için web sitesine bağlanılıyor
2025-06-12,22:01:43,Connection,Success,2 oda - HTTP 200
2025-06-12,22:01:43,Data,Success,2 oda - Ev sayısı bulundu (span): 4
2025-06-12,22:01:43,Check,Started,"2,5 oda için web sitesine bağlanılıyor"
2025-06-12,22:01:43,Connection,Success,"2,5 oda - HTTP 200"
2025-06-12,22:01:43,Data,Success,"2,5 oda - Ev sayısı bulundu (span): 4"
2025-06-12,22:01:43,Check,Started,3 oda için web sitesine bağlanılıyor
2025-06-12,22:01:43,Connection,Success,3 oda - HTTP 200
2025-06-12,22:01:43,Data,Success,3 oda - Ev sayısı bulundu (span): 4
2025-06-12,22:01:43,Check,Success,Değişiklik yok - Toplam ev sayısı: 20
2025-06-12,22:02:58,System,Started,"Version 5.1 - Check interval: 5 minutes - Filter: 2, 2,5, 3 rooms, 300-1000€ - BeautifulSoup active"
2025-06-12,22:02:58,Check,Started,Connecting to website
2025-06-12,22:02:59,Connection,Success,HTTP 200
2025-06-12,22:02:59,Data,Success,Filtreye uyan ev sayısı: 0
